Q,"BB84 N = 1, Qx = Q","BB84 N = 1, Qx = Q(1-Q)","BB84 N = 2, Qx = Q","BB84 N = 2, Qx = Q(1-Q)","BB84 N = 3, Qx = Q","BB84 N = 3, Qx = Q(1-Q)",6 State N = 1,6 State N = 2,6 State N = 3,Our Qf=Qx=Q,"Our Qf=Qr=Q, Qx = 2Q(1-Q)","Qf=Q, Qr=2Q, Qx = Qf(1-Qr)+Qr(1-Qf)","Qf=2Q, Qr=Q, Qx = Qf(1-Qr)+Qr(1-Qf)","Qf=2Q, Qr=Q, Qx = (Qf+Qr)/2","Qf=Q, Qr=2Q, Qx = (Qf+Qr)/2"
0.17,,,0.054496,0.125284,0.203961,0.27709,,0.258847,0.448145,,,,,,
0.171,,,0.049668,0.120946,0.200044,0.273707,,0.253869,0.444559,,,,,,
0.172,,,0.044849,0.116613,0.196127,0.270322,,0.248885,0.44096,,,,,,
0.173,,,0.040038,0.112286,0.19221,0.266935,,0.243894,0.437349,,,,,,
0.174,,,0.035235,0.107965,0.188294,0.263547,,0.238896,0.433725,,,,,,
0.175,,,0.030441,0.103649,0.184377,0.260156,,0.233891,0.430088,,,,,,
0.176,,,0.025638,0.099339,0.180462,0.256763,,0.22888,0.426438,,,,,,
0.177,,,0.02083,0.095036,0.176546,0.253369,,0.223862,0.422775,,,,,,
0.178,,,0.016029,0.090738,0.172631,0.249971,,0.218838,0.419099,,,,,,
0.179,,,0.011238,0.086446,0.168715,0.246572,,0.213807,0.41541,,,,,,
0.18,,,0.006456,0.08216,0.1648,0.24317,,0.20877,0.411707,,,,,,
0.181,,,0.001683,0.07788,0.160886,0.239766,,0.203727,0.407992,,,,,,
0.182,,,,0.073606,0.156971,0.236359,,0.198678,0.404262,,,,,,
0.183,,,,0.069338,0.153056,0.232949,,0.193622,0.40052,,,,,,
0.184,,,,0.065077,0.149142,0.229537,,0.188561,0.396763,,,,,,
0.185,,,,0.060821,0.145228,0.226122,,0.183494,0.392993,,,,,,
0.186,,,,0.056572,0.141313,0.222703,,0.17842,0.389209,,,,,,
0.187,,,,0.05233,0.137399,0.219282,,0.173341,0.385411,,,,,,
0.188,,,,0.048094,0.133485,0.215858,,0.168257,0.381599,,,,,,
0.189,,,,0.043864,0.129571,0.212431,,0.163167,0.377774,,,,,,
0.19,,,,0.039623,0.125658,0.209,,0.158071,0.373934,,,,,,
0.191,,,,0.035377,0.121744,0.205566,,0.15297,0.370079,,,,,,
0.192,,,,0.031138,0.117831,0.202129,,0.147863,0.366211,,,,,,
0.193,,,,0.026905,0.113917,0.198689,,0.142751,0.362328,,,,,,
0.194,,,,0.022679,0.110004,0.195244,,0.137634,0.35843,,,,,,
0.195,,,,0.01846,0.106091,0.191797,,0.132512,0.354519,,,,,,
0.196,,,,0.014248,0.102178,0.188346,,0.127385,0.350592,,,,,,
0.197,,,,0.010043,0.098265,0.184891,,0.122254,0.346651,,,,,,
0.198,,,,0.005845,0.094352,0.181432,,0.117117,0.342695,,,,,,
0.199,,,,0.001654,0.09044,0.177969,,0.111975,0.338724,,,,,,
0.2,,,,,0.086528,0.174503,,0.106829,0.334738,,,,,,
0.201,,,,,0.082616,0.171033,,0.101679,0.330737,,,,,,
0.202,,,,,0.078704,0.167558,,0.096524,0.326721,,,,,,
0.203,,,,,0.074792,0.16408,,0.091365,0.32269,,,,,,
0.204,,,,,0.070881,0.160598,,0.086201,0.318644,,,,,,
0.205,,,,,0.06697,0.157111,,0.081034,0.314583,,,,,,
0.206,,,,,0.06306,0.15362,,0.075862,0.310506,,,,,,
0.207,,,,,0.05915,0.150125,,0.070686,0.306414,,,,,,
0.208,,,,,0.05524,0.146626,,0.065507,0.302306,,,,,,
0.209,,,,,0.051331,0.143123,,0.060324,0.298183,,,,,,
0.21,,,,,0.047422,0.139615,,0.055137,0.294044,,,,,,
0.211,,,,,0.043514,0.136102,,0.049947,0.28989,,,,,,
0.212,,,,,0.039607,0.132585,,0.044753,0.28572,,,,,,
0.213,,,,,0.0357,0.129064,,0.039556,0.281534,,,,,,
0.214,,,,,0.031794,0.125538,,0.034356,0.277332,,,,,,
0.215,,,,,0.027888,0.122008,,0.029153,0.273114,,,,,,
0.216,,,,,0.023984,0.118473,,0.023946,0.268881,,,,,,
0.217,,,,,0.02008,0.114933,,0.018737,0.264631,,,,,,
