Q,"BB84 N = 1, Qx = Q","BB84 N = 1, Qx = Q(1-Q)","BB84 N = 2, Qx = Q","BB84 N = 2, Qx = Q(1-Q)","BB84 N = 3, Qx = Q","BB84 N = 3, Qx = Q(1-Q)",6 State N = 1,6 State N = 2,6 State N = 3,Our Qf=Qx=Q,"Our Qf=Qr=Q, Qx = 2Q(1-Q)","Qf=Q, Qr=2Q, Qx = Qf(1-Qr)+Qr(1-Qf)","Qf=2Q, Qr=Q, Qx = Qf(1-Qr)+Qr(1-Qf)","Qf=2Q, Qr=Q, Qx = (Qf+Qr)/2","Qf=Q, Qr=2Q, Qx = (Qf+Qr)/2"
0.081,0.188639,0.212032,0.507901,0.532247,0.561886,0.586404,0.27377,0.668463,0.730664,0.481328,0.411306,0.078054,0.189203,0.334579,0.187556
0.082,0.181635,0.205506,0.502591,0.527417,0.557624,0.582631,0.267126,0.664259,0.727727,0.475464,0.404082,0.068322,0.177825,0.325609,0.179569
0.083,0.174676,0.199026,0.497286,0.522595,0.553373,0.57887,0.260513,0.660045,0.724789,0.469651,0.396904,0.058659,0.166432,0.316627,0.171643
0.084,0.167762,0.192591,0.491987,0.51778,0.549131,0.575121,0.25393,0.655823,0.72185,0.463758,0.389666,0.049011,0.155016,0.307632,0.163705
0.085,0.160893,0.186172,0.486693,0.512973,0.544899,0.571385,0.247375,0.651591,0.718909,0.457865,0.382486,0.039435,0.143608,0.298601,0.155816
0.086,0.154068,0.179791,0.481404,0.508174,0.540676,0.567661,0.240851,0.647351,0.715967,0.452027,0.375239,0.029875,0.132192,0.28954,0.147987
0.087,0.147269,0.173454,0.47612,0.503382,0.536463,0.563949,0.234355,0.643101,0.713022,0.446204,0.368054,0.020391,0.120756,0.280467,0.140147
0.088,0.14049,0.167161,0.470841,0.498598,0.532258,0.560248,0.227887,0.638843,0.710076,0.440288,0.3608,0.010923,0.10933,0.27138,0.132359
0.089,0.133754,0.160913,0.465567,0.49382,0.528062,0.556558,0.221448,0.634575,0.707128,0.434431,0.353609,0.001534,0.097898,0.262279,0.124629
0.09,0.127061,0.154708,0.460298,0.489049,0.523875,0.552879,0.215037,0.630298,0.704177,0.428621,0.346352,,0.086456,0.253164,0.116888
0.091,0.120411,0.148538,0.455033,0.484286,0.519696,0.549211,0.208654,0.626012,0.701224,0.422726,0.339154,,0.075028,0.244033,0.109203
0.092,0.113801,0.142383,0.449774,0.479529,0.515524,0.545554,0.202298,0.621716,0.698268,0.416854,0.331897,,0.063589,0.234864,0.101574
0.093,0.107202,0.13627,0.444519,0.474779,0.511361,0.541906,0.19597,0.617412,0.695309,0.41103,0.324691,,0.052153,0.225682,0.093935
0.094,0.100638,0.130199,0.439268,0.470035,0.507206,0.538269,0.189669,0.613098,0.692347,0.405173,0.317435,,0.040736,0.216487,0.086357
0.095,0.094115,0.12417,0.434023,0.465298,0.503058,0.534641,0.183394,0.608774,0.689383,0.399291,0.310221,,0.0293,0.207279,0.078825
0.096,0.087632,0.118182,0.428781,0.460567,0.498918,0.531023,0.177146,0.604442,0.686414,0.393458,0.30297,,0.017886,0.198057,0.071297
0.097,0.08119,0.112235,0.423545,0.455843,0.494784,0.527415,0.170924,0.6001,0.683443,0.387625,0.295749,,0.006478,0.188821,0.063828
0.098,0.074767,0.106295,0.418313,0.451125,0.490658,0.523815,0.164729,0.595749,0.680468,0.381738,0.288503,,,0.179573,0.056398
0.099,0.068368,0.100395,0.413085,0.446413,0.486539,0.520224,0.158559,0.591389,0.677489,0.3759,0.281274,,,0.170311,0.048984
0.1,0.062009,0.094535,0.407862,0.441707,0.482426,0.516642,0.152415,0.587019,0.674506,0.370081,0.274036,,,0.161037,0.041627
0.101,0.055688,0.088714,0.402643,0.437007,0.47832,0.513068,0.146297,0.58264,0.671519,0.364194,0.266801,,,0.151745,0.034302
0.102,0.049407,0.082933,0.397429,0.432313,0.474221,0.509503,0.140204,0.578252,0.668528,0.358353,0.259571,,,0.142435,0.027004
0.103,0.043145,0.077187,0.392219,0.427625,0.470127,0.505946,0.134135,0.573854,0.665533,0.352543,0.252331,,,0.133115,0.019763
0.104,0.036906,0.071451,0.387013,0.422942,0.46604,0.502396,0.128092,0.569447,0.662533,0.346658,0.245111,,,0.123785,0.012548
0.105,0.030705,0.065753,0.381812,0.418266,0.461958,0.498854,0.122073,0.565031,0.659528,0.340819,0.237866,,,0.114444,0.005369
0.106,0.024541,0.060094,0.376615,0.413595,0.457883,0.49532,0.116079,0.560605,0.656519,0.33501,0.230657,,,0.105093,
0.107,0.018416,0.054472,0.371423,0.40893,0.453813,0.491793,0.110109,0.55617,0.653505,0.329132,0.223409,,,0.095734,
0.108,0.012301,0.048888,0.366235,0.40427,0.449748,0.488272,0.104163,0.551726,0.650486,0.323296,0.216204,,,0.086365,
0.109,0.006217,0.043326,0.361051,0.399616,0.445689,0.484759,0.098241,0.547272,0.647462,0.317485,0.208962,,,0.076989,
0.11,0.000169,0.037785,0.355872,0.394967,0.441635,0.481252,0.092343,0.542809,0.644432,0.311615,0.201753,,,0.067604,
0.111,,0.032281,0.350697,0.390324,0.437586,0.477752,0.086468,0.538336,0.641397,0.305786,0.194528,,,0.058212,
0.112,,0.026814,0.345527,0.385686,0.433542,0.474258,0.080617,0.533855,0.638356,0.299971,0.187316,,,0.048814,
